127.0.0.1 - - [09/Apr/2019:17:20:52 +0900] "GET / HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:00 +0900] "GET / HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:00 +0900] "GET /resources/bootstrap/css/bootstrap.css HTTP/1.1" 200 192348
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:00 +0900] "GET /resources/css/common.css HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:09 +0900] "GET /wini/main.do HTTP/1.1" 200 12814
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:09 +0900] "GET /resources/js/jQuery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:09 +0900] "GET /resources/bootstrap/js/bootstrap.js HTTP/1.1" 200 131637
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:09 +0900] "GET /resources/js/common.js HTTP/1.1" 200 9476
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:09 +0900] "GET /resources/js/jqt.validate.js HTTP/1.1" 200 7070
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:09 +0900] "GET /resources/js/jqt.util.js HTTP/1.1" 200 10454
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:09 +0900] "GET /resources/js/jqt.form.js HTTP/1.1" 200 32211
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:09 +0900] "GET /resources/images/QR/qr-code.png HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:09 +0900] "GET /resources/images/wini-background.jpg HTTP/1.1" 200 363353
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:21:12 +0900] "POST /rest/wini/issuePlaceList.do HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:23:08 +0900] "GET /resources/bootstrap/js/bootstrap.js.map HTTP/1.1" 200 250568
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:23:08 +0900] "GET /resources/bootstrap/css/bootstrap.css.map HTTP/1.1" 200 492048
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:23:11 +0900] "POST /rest/wini/certiList.do HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [09/Apr/2019:17:23:14 +0900] "POST /rest/wini/certiFieldList.do HTTP/1.1" 200 1945
